source,group,dataset,n,capacity,algorithm,status,optimum,value,total_weight,selected_count,error_percent,runtime_ms_avg,memory_kb,repeat_times,nodes,pruned,prune_rate
FSU,fsu_correctness,p01,10,165,DP,OK,309,309,165,5,0.0000,0.0000,2,5,0,0,0.0000
FSU,fsu_correctness,p01,10,165,Backtracking,OK,309,309,165,5,0.0000,0.0000,1,1,12,6,0.5000
FSU,fsu_correctness,p01,10,165,Greedy,OK,309,309,165,5,0.0000,0.0000,1,5,0,0,0.0000
FSU,fsu_correctness,p02,5,26,DP,OK,51,51,26,3,0.0000,0.0000,1,5,0,0,0.0000
FSU,fsu_correctness,p02,5,26,Backtracking,OK,51,51,26,3,0.0000,0.0000,1,1,12,4,0.3333
FSU,fsu_correctness,p02,5,26,Greedy,OK,51,47,23,2,7.8431,0.0000,1,5,0,0,0.0000
FSU,fsu_correctness,p03,6,190,DP,OK,150,150,190,3,0.0000,0.0000,3,5,0,0,0.0000
FSU,fsu_correctness,p03,6,190,Backtracking,OK,150,150,190,3,0.0000,0.0000,1,1,20,7,0.3500
FSU,fsu_correctness,p03,6,190,Greedy,OK,150,146,179,3,2.6667,0.0000,1,5,0,0,0.0000
FSU,fsu_correctness,p04,7,50,DP,OK,107,107,50,2,0.0000,0.0000,1,5,0,0,0.0000
FSU,fsu_correctness,p04,7,50,Backtracking,OK,107,107,50,2,0.0000,0.0000,1,1,20,4,0.2000
FSU,fsu_correctness,p04,7,50,Greedy,OK,107,102,48,4,4.6729,0.0000,1,5,0,0,0.0000
FSU,fsu_correctness,p05,8,104,DP,OK,900,900,104,6,0.0000,0.0000,2,5,0,0,0.0000
FSU,fsu_correctness,p05,8,104,Backtracking,OK,900,900,104,6,0.0000,0.0000,1,1,38,12,0.3158
FSU,fsu_correctness,p05,8,104,Greedy,OK,900,858,97,7,4.6667,0.0000,1,5,0,0,0.0000
FSU,fsu_correctness,p06,7,170,DP,OK,1735,1735,169,3,0.0000,0.0000,3,5,0,0,0.0000
FSU,fsu_correctness,p06,7,170,Backtracking,OK,1735,1735,169,3,0.0000,0.0000,1,1,84,11,0.1310
FSU,fsu_correctness,p06,7,170,Greedy,OK,1735,1478,140,3,14.8127,0.0000,1,5,0,0,0.0000
FSU,fsu_correctness,p07,15,750,DP,OK,1458,1458,749,8,0.0000,0.0000,9,5,0,0,0.0000
FSU,fsu_correctness,p07,15,750,Backtracking,OK,1458,1458,749,8,0.0000,0.0000,1,1,138,28,0.2029
FSU,fsu_correctness,p07,15,750,Greedy,OK,1458,1441,740,8,1.1660,0.0000,1,5,0,0,0.0000
